"","X","cluster"
"713","2009-09-01_2",4
"718","2009-10-01_2",4
"721","2009-10-01_5",4
"724","2009-11-01_2",4
"727","2009-11-01_5",4
"730","2009-12-01_2",4
"733","2009-12-01_5",4
"736","2010-01-01_2",4
"739","2010-01-01_5",4
"742","2010-02-01_2",4
"745","2010-02-01_5",4
"748","2010-03-01_2",4
"753","2010-04-01_2",4
"758","2010-05-01_2",4
"763","2010-06-01_2",4
"768","2010-07-01_2",4
"773","2010-08-01_2",4
"778","2010-09-01_2",4
"783","2010-10-01_2",4
"788","2010-11-01_2",4
"793","2010-12-01_2",4
"798","2011-01-01_2",4
"804","2011-02-01_3",4
"808","2011-03-01_2",4
"813","2011-04-01_2",4
"818","2011-05-01_2",4
"823","2011-06-01_2",4
"828","2011-07-01_2",4
"834","2011-08-01_3",4
"838","2011-09-01_2",4
"840","2011-09-01_4",4
"841","2011-09-01_5",4
"845","2011-10-01_2",4
"848","2011-10-01_5",4
"849","2011-10-01_6",4
"852","2011-11-01_2",4
"855","2011-11-01_5",4
"856","2011-11-01_6",4
"859","2011-12-01_2",4
"862","2011-12-01_5",4
"865","2012-01-01_2",4
"868","2012-01-01_5",4
"869","2012-01-01_6",4
"870","2012-02-01_0",4
"875","2012-02-01_5",4
"876","2012-02-01_6",4
"882","2012-03-01_5",4
"883","2012-03-01_6",4
"888","2012-04-01_4",4
"889","2012-04-01_5",4
"895","2012-05-01_4",4
"896","2012-05-01_5",4
"902","2012-06-01_4",4
"908","2012-07-01_4",4
"914","2012-08-01_4",4
"920","2012-09-01_4",4
"927","2012-10-01_5",4
"932","2012-11-01_4",4
"988","2013-10-01_4",4
"993","2013-11-01_4",4
"998","2013-12-01_4",4
"1003","2014-01-01_4",4
"1008","2014-02-01_4",4
"1013","2014-03-01_4",4
"1018","2014-04-01_4",4
"1023","2014-05-01_4",4
"1028","2014-06-01_4",4
"1033","2014-07-01_4",4
"1038","2014-08-01_4",4
"1042","2014-09-01_3",4
"1048","2014-10-01_4",4
"1053","2014-11-01_4",4
"1058","2014-12-01_4",4
"1063","2015-01-01_4",4
"1068","2015-02-01_4",4
"1073","2015-03-01_4",4
"1078","2015-04-01_4",4
"1082","2015-05-01_3",4
"1083","2015-05-01_4",4
"1087","2015-06-01_3",4
"1088","2015-06-01_4",4
"1092","2015-07-01_3",4
"1095","2015-08-01_2",4
"1096","2015-08-01_3",4
"1100","2015-09-01_2",4
"1101","2015-09-01_3",4
"1106","2015-10-01_3",4
"1107","2015-10-01_4",4
"1111","2015-11-01_3",4
"1112","2015-11-01_4",4
"1116","2015-12-01_3",4
"1117","2015-12-01_4",4
"1120","2016-01-01_2",4
"1121","2016-01-01_3",4
"1125","2016-02-01_2",4
"1126","2016-02-01_3",4
"1131","2016-03-01_3",4
"1132","2016-03-01_4",4
"1136","2016-04-01_3",4
"1137","2016-04-01_4",4
"1141","2016-05-01_3",4
"1142","2016-05-01_4",4
"1146","2016-06-01_3",4
"1147","2016-06-01_4",4
"1151","2016-07-01_3",4
"1152","2016-07-01_4",4
"1156","2016-08-01_3",4
"1157","2016-08-01_4",4
"1161","2016-09-01_3",4
"1162","2016-09-01_4",4
"1166","2016-10-01_3",4
"1167","2016-10-01_4",4
"1171","2016-11-01_3",4
"1172","2016-11-01_4",4
"1176","2016-12-01_3",4
"1177","2016-12-01_4",4
"1180","2017-01-01_2",4
"1182","2017-01-01_4",4
"1185","2017-02-01_2",4
"1187","2017-02-01_4",4
"1191","2017-03-01_3",4
"1192","2017-03-01_4",4
"1196","2017-04-01_3",4
