"('2003-04-25', '2005-03-31')","('2005-04-01', '2007-11-30')","('2007-12-01', '2009-06-30')","('2009-07-01', '2012-02-29')","('2012-03-01', '2014-10-31')","('2014-11-01', '2017-06-30')","('2017-07-01', '2020-01-31')",win_max_consec,win_period,var_1,var_1_text,var_2,var_2_text
-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,1,3->3,RPsdf_rolling,0,PCAfreq,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3->3; 5->5,liquidity,0,fEpg,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,trend,0,BEME,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,BEME,0,fEnv,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,3->3; 5->5,PCAfreq,1,fEpg,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,2,3->4,fRpc,1,sEp,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,3->3; 7->7,BEME,0,fEp,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,DOilVol,0,fRpc,1
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,3->3; 7->7,BEME,0,vix_diff,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,DSpot,0,fRpc,1
0.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,BEME,0,artcount,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,OpenInt,0,entropy,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,BEME,0,entropy,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,InflaBeta,0,DOilVol,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,fRpc,1,fEpg,1
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,3->3,BasMom,0,InflaBeta,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,3->3; 7->7,sp500Ret,0,InflaBeta,0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,2,6->7,BEME,0,BasMom,0
